Double Indemnity,1944.0,107 min,"Crime, Drama, Film-Noir",8.3,Fred MacMurray,Barbara Stanwyck,Byron Barr
Citizen Kane,1941.0,119 min,"Drama, Mystery",8.3,Orson Welles,Joseph Cotten,Agnes Moorehead
M - Eine Stadt sucht einen Mörder,1931.0,117 min,"Crime, Mystery, Thriller",8.3,Peter Lorre,Ellen Widmann,Otto Wernicke
Metropolis,1927.0,153 min,"Drama, Sci-Fi",8.3,Brigitte Helm,Alfred Abel,Rudolf Klein-Rogge
The Kid,1921.0,68 min,"Comedy, Drama, Family",8.3,Charles Chaplin,Edna Purviance,Carl Miller
Chhichhore,2019.0,143 min,"Comedy, Drama",8.2,Sushant Singh Rajput,Shraddha Kapoor,Prateik
Uri: The Surgical Strike,2018.0,138 min,"Action, Drama, War",8.2,Vicky Kaushal,Paresh Rawal,Yami Gautam
K.G.F: Chapter 1,2018.0,156 min,"Action, Drama",8.2,Yash,Srinidhi Shetty,Archana Jois
Green Book,2018.0,130 min,"Biography, Comedy, Drama",8.2,Viggo Mortensen,Mahershala Ali,Sebastian Maniscalco
"Three Billboards Outside Ebbing, Missouri",2017.0,115 min,"Comedy, Crime, Drama",8.2,Frances McDormand,Woody Harrelson,Caleb Landry Jones
Talvar,2015.0,132 min,"Crime, Drama, Mystery",8.2,Irrfan Khan,Konkona Sen Sharma,Sohum Shah
Baahubali 2: The Conclusion,2017.0,167 min,"Action, Drama",8.2,Prabhas,Rana Daggubati,Tamannaah Bhatia
Klaus,2019.0,96 min,"Animation, Adventure, Comedy",8.2,Carlos Martínez López,Jason Schwartzman,Rashida Jones
Drishyam,2015.0,163 min,"Crime, Drama, Mystery",8.2,Ajay Devgn,Shriya Saran,Rajat Kapoor
Queen,2013.0,146 min,"Adventure, Comedy, Drama",8.2,Kangana Ranaut,Rajkummar Rao,Jeffrey Ho
Mandariinid,2013.0,87 min,"Drama, War",8.2,Lembit Ulfsak,Elmo Nüganen,Misha Meskhi
Bhaag Milkha Bhaag,2013.0,186 min,"Biography, Drama, Sport",8.2,Farhan Akhtar,Sonam Kapoor,Art Malik
Gangs of Wasseypur,2012.0,321 min,"Action, Comedy, Crime",8.2,Manoj Bajpayee,Richa Chadha,Tigmanshu Dhulia
Udaan,2010.0,134 min,Drama,8.2,Rajat Barmecha,Ronit Roy,Ram Kapoor
Paan Singh Tomar,2012.0,135 min,"Action, Biography, Crime",8.2,Irrfan Khan,Mahie Gill,Hemendra Dandotiya
El secreto de sus ojos,2009.0,129 min,"Drama, Mystery, Romance",8.2,Ricardo Darín,Soledad Villamil,Carla Quevedo
Warrior,2011.0,140 min,"Action, Drama, Sport",8.2,Tom Hardy,Nick Nolte,Jennifer Morrison
